feature,importance
spend_std_7d,46484525.7286998
spend_mean_30d,35403092.26420888
spend_max_7d,32807329.02940023
spend_sum_7d,29753440.95249051
spend_sum_30d,5765329.858608484
spend_mean_7d,4238494.3283522725
day_count_30d,2072880.6360327005
day_count_7d,1559804.453897208
unique_category_count_30d,1239899.3642175198
spend_std_30d,1120919.1529991627
spend_max_30d,981442.2396021485
cat_spend_ratio_transport_30d,38152.223348379135
cat_spend_ratio_entertainment_30d,28863.31890642643
cat_spend_ratio_shopping_30d,22113.223086714745
cat_spend_ratio_housing_30d,21614.569650650024
cat_spend_ratio_other_30d,17129.588500142097
cat_spend_ratio_convenience_30d,10965.681965112686
cat_spend_ratio_food_30d,9274.282455444336
cat_spend_ratio_subscription_30d,8923.996166706085
cat_spend_ratio_cafe_30d,0.0
