feature,importance
spend_std_7d,83339344.23552763
spend_mean_30d,65406084.096717834
spend_sum_7d,55799518.35216439
spend_max_7d,47162655.916478276
spend_sum_30d,5834331.630776346
day_count_30d,3055346.626441598
spend_mean_7d,2226960.9070028663
unique_category_count_30d,1348777.0006563663
spend_max_30d,1030468.8796991706
day_count_7d,723685.007722497
spend_std_30d,451742.49577891827
cat_spend_ratio_gas_transport_30d,55418.248404979706
cat_spend_ratio_other_30d,38330.014484643936
cat_spend_ratio_entertainment_30d,25330.488260746002
cat_spend_ratio_kids_pets_30d,20878.397688150406
cat_spend_ratio_home_30d,17341.663974404335
cat_spend_ratio_shopping_pos_30d,16664.312324762344
cat_spend_ratio_shopping_net_30d,15117.742892801762
cat_spend_ratio_grocery_pos_30d,15068.726596236229
cat_spend_ratio_misc_net_30d,13763.579320073128
