feature,importance
spend_sum_7d,2186215.9766398594
spend_max_7d,296844.7825999111
spend_mean_30d,290063.31036281586
spend_mean_7d,73753.71514195204
spend_std_30d,34230.37191803008
cat_spend_ratio_subscription_30d,17568.288420766592
cat_spend_ratio_transport_30d,13705.122198171914
spend_std_7d,10462.988791048527
cat_spend_ratio_cafe_30d,5791.192234568298
cat_spend_ratio_shopping_30d,4800.203410476446
spend_max_30d,4719.321166709065
cat_spend_ratio_other_30d,4313.791969574988
spend_sum_30d,3053.253826200962
cat_spend_ratio_convenience_30d,2928.7958119288087
day_count_7d,2604.215981721878
cat_spend_ratio_food_30d,1796.8947896808386
cat_spend_ratio_entertainment_30d,1550.0745363757014
cat_spend_ratio_housing_30d,906.0109536573291
day_count_30d,460.3668008893728
unique_category_count_30d,0.0
